Category: All categories,,,,,
,,,,,
Day,CERB: (Canada),mask: (Canada),bike: (Canada),zoom: (Canada),patio: (Canada)
01-01-2020,<1,5,7,1,1
02-01-2020,<1,4,7,2,1
03-01-2020,<1,5,7,1,1
04-01-2020,<1,4,8,2,1
05-01-2020,0,5,8,2,1
06-01-2020,<1,5,7,3,1
07-01-2020,0,5,6,3,1
08-01-2020,<1,4,6,2,1
09-01-2020,<1,4,6,2,1
10-01-2020,<1,4,5,2,1
11-01-2020,0,5,7,1,1
12-01-2020,<1,6,8,2,1
13-01-2020,<1,5,6,2,1
14-01-2020,0,5,5,2,1
15-01-2020,0,5,5,3,1
16-01-2020,<1,5,7,2,1
17-01-2020,0,5,5,3,1
18-01-2020,0,6,8,2,1
19-01-2020,0,5,7,2,1
20-01-2020,0,5,6,2,1
21-01-2020,0,8,7,2,1
22-01-2020,0,9,7,3,1
23-01-2020,0,11,6,2,1
24-01-2020,0,12,6,3,1
25-01-2020,<1,15,8,2,1
26-01-2020,0,26,7,2,1
27-01-2020,0,23,6,2,1
28-01-2020,<1,23,6,3,1
29-01-2020,<1,21,6,2,1
30-01-2020,0,19,7,2,1
31-01-2020,<1,17,7,2,1
01-02-2020,<1,14,7,2,1
02-02-2020,0,12,8,2,1
03-02-2020,0,10,6,2,1
04-02-2020,<1,10,7,3,1
05-02-2020,<1,9,7,3,1
06-02-2020,<1,9,5,3,1
07-02-2020,0,9,6,3,1
08-02-2020,0,10,7,3,1
09-02-2020,0,10,7,2,1
10-02-2020,0,8,6,3,1
11-02-2020,<1,8,8,3,1
12-02-2020,<1,8,6,3,1
13-02-2020,0,7,6,3,1
14-02-2020,<1,8,6,2,1
15-02-2020,0,7,8,2,2
16-02-2020,0,8,9,2,2
17-02-2020,<1,6,9,2,1
18-02-2020,<1,7,7,2,1
19-02-2020,<1,7,8,3,1
20-02-2020,0,7,8,3,1
21-02-2020,0,6,6,2,1
22-02-2020,0,8,8,2,2
23-02-2020,0,9,10,2,2
24-02-2020,<1,7,8,3,2
25-02-2020,0,10,7,3,1
26-02-2020,0,13,7,3,2
27-02-2020,<1,14,8,3,1
28-02-2020,0,15,7,3,1
29-02-2020,0,13,9,2,2
01-03-2020,0,14,9,2,2
02-03-2020,<1,12,7,3,2
03-03-2020,<1,11,7,3,2
04-03-2020,0,10,8,3,1
05-03-2020,<1,11,8,3,2
06-03-2020,<1,11,9,3,2
07-03-2020,0,9,10,2,2
08-03-2020,0,10,11,2,3
09-03-2020,<1,10,9,3,2
10-03-2020,0,10,8,3,2
11-03-2020,<1,12,7,3,2
12-03-2020,0,16,6,5,1
13-03-2020,<1,19,7,7,1
14-03-2020,0,16,8,6,2
15-03-2020,0,17,9,6,3
16-03-2020,0,15,7,15,2
17-03-2020,0,17,8,19,1
18-03-2020,<1,16,8,20,1
19-03-2020,0,19,8,23,1
20-03-2020,0,19,8,24,2
21-03-2020,0,24,13,21,3
22-03-2020,0,25,12,24,2
23-03-2020,<1,24,9,36,2
